Unit Address,Property Name,Distance,Neighborhood,Property Flags,Unnamed: 5,Property Group,Latitude,Longitude
"11380 Chalet Rd,  Truckee, CA, 96161, US",Log Cabin Living at Tahoe Donner,089-1-03.0 Chalet,Tahoe Donner,,,Ski Lease Only,39.3526151,-120.2479449
"11382 Northwoods Blvd,  Truckee, CA, 96161, US",Tahoe Getaways Office,089-1-00.2 Hidden Circle,Truckee,,,7 NT Year-Round,39.3421057,-120.2138353
"11406 Chalet Road,  Truckee, CA, 96161, US",Sterling Ski Lease at Tahoe Donner,089-1-03.0 Chalet,Tahoe Donner,,,Ski Lease Only,39.3523889,-120.2475858
"11411 Dolomite Way #8,  Truckee, CA, 96161, US",Dolomite Condo #8,089-3-02.6 Deerfield,Truckee,,,Monthly Lease Only,,
"1142 Clearview Ct,  Tahoe City, CA, 96145, US",Crystal Lake View Lodge,089-3-18.5 Tahoe Park Heights,Tahoe Park,Managed Services: Y,,Summer 5 NT,,
"11422 Mougle Lane,  Truckee, CA, 96161, US",Woodcrest at Tahoe Donner,089-1-06.6 Mougle,Tahoe Donner,,,Summer 3 NT,39.3454736,-120.204993
"11432 Sun Valley,  Truckee, CA, 96161, US",High Point at Tahoe Donner,089-1-01.9 Davos Three,Tahoe Donner,,,Monthly Lease Only,39.3463659,-120.246834
"11467 Lausanne,  Truckee, CA, 96161, US",Voyager Retreat at Tahoe Donner,089-1-07.1 Lausanne,Tahoe Donner,,,Monthly Lease Only,39.3433206,-120.2068298
"11490 Bottcher Loop,  Truckee, CA, 96161, US",The Lavish Cabin at Gray's Crossing,267-1-07.2 Ghirard,Gray's Crossing,Managed Services: Y;,,Summer 5 NT,39.3570951,-120.1677388
"11496 Lausanne Way,  Truckee, CA, 96161, US",Cottonwood Place at Tahoe Donner,089-1-07.1 Lausanne,Tahoe Donner,,,Summer 3 NT,39.3437838,-120.2069139
"115 Bearing Drive,  Tahoe City, CA, 96145, US",Starry Skies on The West Shore,089-3-16.3 Granlibakken,Tahoe City,,,Summer 5 NT,39.1571215,-120.1442234
"115 Marlette Drive,  Tahoe City, CA, 96145, US",Enchantment at Dollar Point,267-2-23.8 Marlette,Dollar Point,,,Summer 7 NT,,
"1150 Statford Way,  Tahoe Vista, CA, 96148, US",Noble Heights Ski Lease,267-2-15.8 Regency,Tahoe Vista/Kings Beach,,,Ski Lease Only,,
"11512 Chalet Road,  Truckee, CA, 96161, US",Mountain Jewel at Tahoe Donner,089-1-03.0 Chalet,Tahoe Donner,,,Summer 5 NT,39.3506838,-120.2472016
"11530 Bennett Flat,  Truckee, CA, 96161, US",Meadowlark in Tahoe Donner,089-1-07.1 Lausanne,Tahoe Donner,,,Summer 5 NT,,
"11540 Stillwater Ct,  Truckee, CA, 96161, US",Stillwater Lodge,267-2-05.2 Ponderosa,Truckee,,,Ski Lease Only,,
"11553 Kitzbuhel Rd,  Truckee, CA, 96161, US",Resting Bear Lodge,089-1-06.3 Sitzmark,Tahoe Donner,,,Summer 3 NT,39.3446528,-120.1991567
"11570 Stillwater Ct,  Truckee, CA, 96161, US",Freedom Lodge,267-2-05.2 Ponderosa,Truckee,,,Monthly Lease Only,,
"11615 Kelley,  Truckee, CA, 96161, US",Truckee Treasure at Gray's Crossing,267-1-07.2 Ghirard,Gray's Crossing,,,Summer 5 NT,39.3556265,-120.1697743
"11615 Mougle Lane,  Truckee, CA, 96161, US",Skylark Lodge at Tahoe Donner,089-1-06.6 Mougle,Tahoe Donner,,,Ski Lease Only,39.3484417,-120.2058291
"11655 Ski Slope Way,  Truckee, CA, 96161, US",Sierra Dream at Tahoe Donner,089-1-01.1 Skislope One,Tahoe Donner,,,Ski Lease Only,39.3374945,-120.2382816
"11657 Munich Drive,  Truckee, CA, 96161, US",Munich Retreat at Tahoe Donner,089-1-06.6 Mougle,Tahoe Donner,,,Ski Lease Only,39.3491371,-120.2039151
"11669 Nordic Ln,  Truckee, CA, 96161, US",Balsam Retreat at Tahoe Donner,089-1-06.6 Mougle,Tahoe Donner,,,Monthly Lease Only,39.3484069,-120.2027623
"11724 East Sierra Drive,  Truckee, CA, 96161, US",Connex Luxury Retreat,089-2-02.6 Donner Lake,Truckee,,,Ski Lease Only,,
"11724 Hope Court Unit A,  Truckee, CA, 96161, US",Nexus Luxury Ski Lease,267-2-07.2 Autumn,Truckee,,,Ski Lease Only,,
"11744 Chalet Rd,  Truckee, CA, 96161, US",Majestic Woods at Tahoe Donner,089-1-03.0 Chalet,Tahoe Donner,,,Summer 5 NT,39.3499328,-120.2502849
"11788 Saint Bernard,  Truckee, CA, 96161, US",St. Bernard Place at Tahoe Donner,089-1-05.8 Saint Bernard,Tahoe Donner,,,Summer 3 NT,39.3494782,-120.2184676
"11854 Bennet Flat Rd,  Truckee, CA, 96161, US",Tranquil Retreat at Tahoe Donner,089-1-07.1 Lausanne,Tahoe Donner,,,Summer 5 NT,,
"11884 Brookstone Drive,  Truckee, CA, 96161, US",Melody Retreat at Tahoe Donner,089-1-06.3 Sitzmark,Tahoe Donner,,,Ski Lease Only,39.3512656,-120.2096281
"11885 Sitzmark Way,  Truckee, CA, 96161, US",Shady Pines at Tahoe Donner,089-1-06.6 Mougle,Tahoe Donner,Managed Services: Y,,Summer 3 NT,39.346876,-120.2029141
"11960 Brookstone Drive,  Truckee, CA, 96161, US",Babbling Brook at Tahoe Donner,089-1-06.3 Sitzmark,Tahoe Donner,,,Ski Lease Only,39.3521945,-120.2094516
"12015 Lausanne,  Truckee, CA, 96161, US",Hillcrest at Tahoe Donner,089-1-07.1 Lausanne,Tahoe Donner,,,Monthly Lease Only,39.3486376,-120.2114928
"12049 Bernese,  Truckee, CA, 96161, US",Kodiak Cabin at Tahoe Donner,089-1-00.3 Bernese,Tahoe Donner,,,Ski Lease Only,39.3397989,-120.2156171
"12055 Saint Bernard,  Truckee, CA, 96161, US",Bear Bottom Cottage at Tahoe Donner,089-1-05.8 Saint Bernard,Tahoe Donner,,,Ski Lease Only,39.3514608,-120.2148544
"12055 Schussing,  Truckee, CA, 96161, US",Sweet Retreat at Tahoe Donner,089-1-06.0 Schussing,Tahoe Donner,,,Monthly Lease Only,39.3526584,-120.2120821
"12082 Muhlebach,  Truckee, CA, 96161, US",Kokanee at Tahoe Donner,089-1-04.9 Muhlebach,Tahoe Donner,,,Summer 3 NT,39.3556709,-120.2283376
"12119 Viking Way,  Truckee, CA, 96161, US",Cabin Fever at Tahoe Donner,089-1-03.6 Slalom,Tahoe Donner,,,Summer 3 NT,39.3544423,-120.2542595
"12141 Bernese,  Truckee, CA, 96161, US",Donner Gem at Tahoe Donner,089-1-00.3 Bernese,Tahoe Donner,,,Summer 3 NT,39.3399196,-120.2141823
"12151 Snowpeak Way,  Truckee, CA, 96161, US",Owls Nest at Tahoe Donner,089-1-03.0 Chalet,Tahoe Donner,,,Monthly Lease Only,39.3571065,-120.2489018
"12153 Schussing Way,  Truckee, CA, 96161, US",Sunrise Abode at Tahoe Donner,089-1-06.0 Schussing,Tahoe Donner,,,Summer 5 NT,39.3535732,-120.2129464
"12158 Schussing Way,  Truckee, CA, 96161, US",Bear’s Lair at Tahoe Donner,089-1-06.0 Schussing,Tahoe Donner,,,Summer 5 NT,39.3535442,-120.2131712
"12158 Ski Slope,  Truckee, CA, 96161, US",Overlook Lake View Lodge at Tahoe Donner,089-1-01.1 Skislope One,Tahoe Donner,,,Summer 5 NT,39.3373522,-120.2472674
"12160 Lausanne Way,  Truckee, CA, 96161, US",Tree Haus in Tahoe Donner,089-1-07.1 Lausanne,Tahoe Donner,,,Summer 5 NT,39.3475364,-120.2134321
"12223 Pete Alvertson,  Truckee, CA, 96161, US",Rockwood Lodge at Lahontan,267-2-09.4 Lahontan,Lahontan,,,Monthly Lease Only,,
"12251 Bear Meadows Ct,  Truckee, CA, 96161, US",Bearfoot Lodge at Tahoe Donner,089-1-03.6 Slalom,Tahoe Donner,,,Summer 5 NT,,
"12281 Muhlebach Way,  Truckee, CA, 96161, US",Merry Muhlebach at Tahoe Donner,089-1-04.9 Muhlebach,Tahoe Donner,,,Monthly Lease Only,39.3549199,-120.224784
"12285 Telemark Place,  Truckee, CA, 96161, US",Camp Telemark at Tahoe Donner,089-1-06.0 Schussing,Tahoe Donner,,,Summer 5 NT,,
"12296 Stockholm Way,  Truckee, CA, 96161, US",Stockholm Vista,089-1-04.1 Wolfgang,Tahoe Donner,,,Summer 3 NT,39.3623992,-120.2505796
"12310 Fairway Drive,  Truckee, CA, 96161, US",Boulder Lodge at Old Greenwood,267-1-07.5 Fairway,Old Greenwood,,,Ski Lease Only,39.3479288,-120.146768
"12326 Fairway Drive,  Truckee, CA, 96161, US",Waterville Lodge at Old Greenwood,267-1-07.5 Fairway,Old Greenwood,,,Monthly Lease Only,39.3479288,-120.146768
"12343 Snowpeak Way,  Truckee, CA, 96161, US",Beacon Ski Lease in Tahoe Donner,089-1-03.0 Chalet,Tahoe Donner,,,Ski Lease Only,39.3544075,-120.2504817
"12397 Stockholm Way,  Truckee, CA, 96161, US",Dawn Retreat at Tahoe Donner,089-1-04.1 Wolfgang,Tahoe Donner,,,Summer 3 NT,39.3616663,-120.2496924
"125 Lassen #15,  Tahoe City, CA, 96145, US",North Shore Lakeside Condo 15,267-2-24.2 Lake Forest,Tahoe City,,,Summer 7 NT,,
"125 Lassen Drive # 8,  Tahoe City, CA, 96145, US",North Shore Lakeside Condo 8,267-2-24.2 Lake Forest,Tahoe City,,,Summer 5 NT,,
"125 Speedboat,  Kings Beach, CA, 96143, US",Sky Rocks,267-2-17.9 Brockway,Tahoe Vista/Kings Beach,,,Summer 7 NT,39.2259726,-120.010579
"12560 Saint Bernard,  Truckee, CA, 96161, US",Rustic Retreat in Tahoe Donner,089-1-05.8 Saint Bernard,Tahoe Donner,,,Summer 3 NT,39.3561672,-120.2112893
"12595 Northwoods #1,  Truckee, CA, 96161, US",Robin's Rest at Tahoe Donner,089-1-04.9 Muhlebach,Tahoe Donner,,,Monthly Lease Only,,
"12597 Pinnacle Loop,  Truckee, CA, 96161, US",Pinnacle Views at Tahoe Donner,089-1-04.1 Wolfgang,Tahoe Donner,Managed Services: Y,,Summer 3 NT,39.3675238,-120.2504988
"126 Marlette Drive,  Tahoe City, CA, 96145, US",Sunny Daze at Dollar Point,267-2-23.8 Marlette,Dollar Point,,,Summer 7 NT,,
"12615 Northwoods Blvd Unit #2,  Truckee, CA, 96161, US",Northwoods Retreat,089-1-04.9 Muhlebach,Tahoe Donner,,,Monthly Lease Only,,
"12617 Bear Meadows Ct #4,  Truckee, CA, 96161, US",Sundial Retreat at Tahoe Donner,089-1-03.6 Slalom,Tahoe Donner,,,Monthly Lease Only,,
"12719 Hidden Cir #2,  Truckee, CA, 96161, US",Laurel Ski Lease at Hidden Circle,089-1-00.2 Hidden Circle,Tahoe Donner,,,Ski Lease Only,,
"12719 Hidden Circle #4,  Truckee, CA, 96161, US",Magnolia at Hidden Circle,089-1-00.2 Hidden Circle,Tahoe Donner,,,Ski Lease Only,,
"12762 HIdden Circle #2,  Truckee, CA, 96161, US",Indigo Ski Lease at Hidden Circle,089-1-00.2 Hidden Circle,Tahoe Donner,,,Ski Lease Only,,
"1280 West Lake Blvd,  Tahoe City, CA, 96145, US",Inspiration Place Lakefront,089-3-16.8 Cedar Point,Tahoe City,,,Summer 7 NT,39.1473576,-120.147357
"12812 Zurich #1,  Truckee, CA, 96161, US",Perched at Tahoe Donner,089-1-00.2 Hidden Circle,Tahoe Donner,,,Ski Lease Only,,
"12861 Caleb Drive,  Truckee, CA, 96161, US",Caleb's Getaway at Old Greenwood,267-1-08.6 Lookout,Old Greenwood,Managed Services: Y,,Summer 5 NT,39.3401909,-120.1572327
"12870 Hillside,  Truckee, CA, 96161, US",Nordic Retreat at Tahoe Donner,089-1-04.2 Solvang,Tahoe Donner,,,Ski Lease Only,39.3651117,-120.2365081
"12871 Stockholm Way,  Truckee, CA, 96161, US",Above the Pines at Tahoe Donner,089-1-03.9 Alder Creek,Tahoe Donner,,,Summer 5 NT,39.3666363,-120.2457051
"12907 Davos Dr.,  Truckee, CA, 96161, US",10th Mountain Home,089-1-00.3 Bernese,Tahoe Donner,,,Summer 3 NT,39.3399233,-120.2211911
"12912 Pinnacle Loop,  Truckee, CA, 96161, US",Viewpoint at Tahoe Donner,089-1-04.1 Wolfgang,Tahoe Donner,,,Monthly Lease Only,39.3675634,-120.248791
"12956 Stockholm Way,  Truckee, CA, 96161, US",Shadow Leaf at Tahoe Donner,089-1-03.9 Alder Creek,Tahoe Donner,,,Ski Lease Only,39.3680217,-120.245022
"12958 Hansel Ave,  Truckee, CA, 96161, US",Evergreen Escape,089-1-04.5 Hansel,Tahoe Donner,,,Monthly Lease Only,39.3454219,-120.2173654
"12969 Stockholm Way,  Truckee, CA, 96161, US",Bear Peak Cabin at Tahoe Donner,089-1-03.9 Alder Creek,Tahoe Donner,,,Summer 5 NT,39.3678019,-120.2449272
"12983 Stockholm,  Truckee, CA, 96161, US",Chestnut Haus at Tahoe Donner,089-1-03.9 Alder Creek,Tahoe Donner,,,Summer 3 NT,39.3679684,-120.244816
"130 Basque Drive,  Truckee, CA, 96161, US",Northstar Pines Ski Lease,267-2-11.8 Basque,Northstar,,,Ski Lease Only,,
"13072 Pinnacle,  Truckee, CA, 96161, US",Glacier Ski Lease at Tahoe Donner,089-1-04.1 Wolfgang,Tahoe Donner,,,Ski Lease Only,39.3696064,-120.2493217
"13074 Stockholm,  Truckee, CA, 96161, US",Hilltop Chalet at Tahoe Donner,089-1-03.9 Alder Creek,Tahoe Donner,,,Ski Lease Only,39.3693926,-120.2441043
"13082 Ski View Loop,  Truckee, CA, 96161, US",Ski View Chalet at Tahoe Donner,089-1-04.3 Ski View,Tahoe Donner,,,Summer 3 NT,39.3533408,-120.2453531
"13099 Oberwald Way,  Truckee, CA, 96161, US",Treetop Ridge at Tahoe Donner,089-1-04.1 Wolfgang,Tahoe Donner,,,Summer 5 NT,39.3692403,-120.2456984
"1310 Indian Hills,  Truckee, CA, 96161, US",Indian Hills at Northstar,267-2-12.6 Martis Landing,Northstar,,,Summer 3 NT,,
"1316 Indian Hills,  Truckee, CA, 96161, US",Deer Hollow at Northstar,267-2-12.6 Martis Landing,Northstar,,,Summer 3 NT,,
"13186 Hillside Dr.,  Truckee, CA, 96161, US",Dwell at Tahoe Donner,089-1-04.2 Solvang,Tahoe Donner,,,Summer 3 NT,39.3689472,-120.2393177
"13193 Snowshoe Thomson Circle,  Truckee, CA, 96161, US",Snowdrift Oasis at Lahontan,267-2-09.4 Lahontan,Lahontan,,,Monthly Lease Only,,
"1320 Commonwealth Drive,  Kings Beach, CA, 96143, US",Look Out Lodge,267-2-16.4 Commonwealth,Tahoe Vista/Kings Beach,,,Summer 5 NT,,
"1321 Indian Hills,  Truckee, CA, 96161, US",Fireside Lodge at Northstar,267-2-12.6 Martis Landing,Northstar,,,Summer 3 NT,,
"1322 Mineral Springs trail,  Olympic Valley, CA, 96146, US",Creek Side at Alpine Meadows,089-3-13.2 Snow Crest,Alpine Meadows,,,Summer 3 NT,,
"13232 Hansel Ave,  Truckee, CA, 96161, US",Scarlet Hollow Cabin at Tahoe Donner,089-1-04.5 Hansel,Tahoe Donner,,,Summer 3 NT,39.3487194,-120.2156771
"1325 Edelweiss Ln,  Tahoe City, CA, 96145, US",Edelweiss on the West Shore,089-3-16.7 Alpine Way,Tahoe City,,,Summer 5 NT,,
"1328 Mineral Springs Trl,  Alpine Meadows, CA, 96146, US",Powder Creek at Alpine Meadows,089-3-13.2 Snow Crest,Alpine Meadows,,,Monthly Lease Only,39.1813875,-120.2137993
"13289 Ski Slope,  Truckee, CA, 96161, US",Infinity Ridge at Tahoe Donner,089-1-02.6 Skislope Two,Tahoe Donner,,,Monthly Lease Only,39.3431663,-120.253672
"13295 Hansel Ave,  Truckee, CA, 96161, US",Forest Haven at Tahoe Donner,089-1-05.8 Saint Bernard,Tahoe Donner,,,Monthly Lease Only,39.3493201,-120.2153028
"13316 Muhlebach,  Truckee, CA, 96161, US",Peaceful Pines at Tahoe Donner,089-1-04.9 Muhlebach,Tahoe Donner,,,Monthly Lease Only,39.3529925,-120.227349
"13320 Solvang Way,  Truckee, CA, 96161, US",Frosty Ridge Retreat at Tahoe Donner,089-1-04.2 Solvang,Tahoe Donner,,,Ski Lease Only,39.3645511,-120.2408599
"13336 Skiview Loop,  Truckee, CA, 96161, US",White Horn at Tahoe Donner,089-1-04.3 Ski View,Tahoe Donner,,,Ski Lease Only,,
"13347 Solvang Way,  Truckee, CA, 96161, US",Norse Hall in Tahoe Donner,089-1-04.2 Solvang,Tahoe Donner,Managed Services: Y,,Summer 5 NT,39.3642892,-120.2411613
"13406 Northwoods Blvd,  Truckee, CA, 96161, US",Wintergreen at Tahoe Donner,089-1-04.2 Solvang,Tahoe Donner,,,Summer 3 NT,39.3586668,-120.2390229
"13411 Fairway Drive,  Truckee, CA, 96161, US",Highland Estate at Old Greenwood,267-1-08.6 Lookout,Old Greenwood,,,Summer 5 NT,39.3408898,-120.1499371
"13419 Northwoods,  Truckee, CA, 96161, US",Pebble Place at Tahoe Donner,089-1-04.9 Muhlebach,Tahoe Donner,,,Summer 3 NT,39.3587531,-120.2388207
"1345 Alpine Way,  Tahoe City, CA, 96145, US",Lupine Lodge at Tahoe Park,089-3-16.7 Alpine Way,Tahoe Park,,,Summer 5 NT,,
"1345 Canterbury Drive,  Kings Beach, CA, 96143, US",Canterbury Lodge,267-2-16.4 Commonwealth,Tahoe Vista/Kings Beach,Managed Services: Y,,Managed Services,,
"1347 Mineral Springs,  Alpine Meadows, CA, 96146, US",Mariposa Heights at Alpine Meadows,089-3-13.2 Snow Crest,Alpine Meadows,,,Summer 3 NT,39.1807654,-120.2143365
"135 Alpine Meadows Rd #15,  Alpine Meadows, CA, 96146, US",River Run #15,089-3-13.2 Snow Crest,Alpine Meadows,,,Summer 3 NT,,
"135 Bearing Drive,  Tahoe City, CA, 96145, US",Nightingale Retreat on the West Shore,089-3-16.3 Granlibakken,Tahoe City,,,Summer 5 NT,39.1571215,-120.1442234
"1350 Kings Way,  Tahoe Vista, CA, 96148, US",Kings Way Lake View,267-2-15.8 Regency,Tahoe Vista/Kings Beach,,,Summer 5 NT,,
"13535 Pathway Avenue,  Truckee, CA, 96161, US",Radiant Retreat at Tahoe Donner,089-1-06.0 Schussing,Tahoe Donner,,,Summer 5 NT,39.3565366,-120.2151533
"13567 Hansel,  Truckee, CA, 96161, US",Raven Retreat at Tahoe Donner,089-1-05.8 Saint Bernard,Tahoe Donner,,,Summer 5 NT,39.353483,-120.2150581
"13579 Skislope Way,  Truckee, CA, 96161, US",Four Seasons Retreat at Tahoe Donner,089-1-02.6 Skislope Two,Tahoe Donner,,,Summer 5 NT,,
